name,x,y
201,127.085641,37.539601
202,127.095123,37.5550604
203,127.0875423,37.5463174
204,127.0822084,37.5344564
205,127.0823592,37.5398932
206,127.0851635,37.5315688
207,127.0707251,37.5320123
208,127.0765661,37.5374471
209,127.0627757,37.535775
210,127.0677125,37.5465198
211,127.0670297,37.5426677
212,127.0772944,37.5566623
213,127.0624791,37.5353397
214,127.080038,37.560675
215,127.0786519,37.5582064
216,127.0771269,37.5587952
217,127.0862358,37.5569059
218,127.0855798,37.5588309
219,127.0841186,37.5606453
220,127.080621,37.5681589
221,127.0805315,37.5691488
222,127.0852157,37.5693178
223,127.0881546,37.5704189
224,127.0875561,37.5631414
225,127.0902681,37.5539712
226,127.0794429,37.5558262
227,127.0880523,37.5530934
228,127.0834898,37.5540522
229,127.0841026,37.5441072
230,127.0844499,37.5383432
231,127.086734,37.5414515
232,127.0929158,37.5534939
233,127.0882924,37.5463794
234,127.087168,37.5476657
235,127.0902997,37.5407577
236,127.0917776,37.5404063
237,127.103025,37.546892
238,127.1006345,37.540931
239,127.1015302,37.5421532
240,127.0831906,37.5360643
241,127.0805083,37.5280321
242,127.0778602,37.5311904
243,127.0751047,37.5379466
244,127.0733209,37.5307028
245,127.063443,37.5382975
246,127.0639068,37.5375373
247,127.0651702,37.5392839
248,127.0682351,37.5386576
249,127.0691371,37.5395892
250,127.0753022,37.545214
251,127.0753246,37.5461884
252,127.0779237,37.5555792
253,127.0704698,37.5503178
254,127.0789022,37.562032
255,127.0815696,37.5714457
256,127.0760127,37.5566079
257,127.0901391,37.5438966
258,127.0903946,37.542868
259,127.0626632,37.5389397
260,127.0873159,37.5550692
261,127.0793841,37.5676027
262,127.0956639,37.5600533
263,127.0818804,37.5364035
264,127.083991,37.5294321
265,127.0700816,37.5322888
266,127.0656473,37.5334175
267,127.0692319,37.5428564
268,127.0750223,37.5524824
269,127.077442,37.5646062
270,127.0803131,37.5597334
271,127.0859869,37.563302
272,127.0824906,37.5672084
273,127.0924485,37.555764
274,127.0761816,37.5457863
275,127.0748973,37.5582988
276,127.0850804,37.5540693
277,127.0809192,37.5359502
278,127.0765359,37.5321393
279,127.0726043,37.5313924
280,127.065263,37.5385279
281,127.0612016,37.5357609
282,127.0862737,37.5383712
283,127.0873066,37.5454822
284,127.0920974,37.5411715
285,127.1084577,37.5491834
286,127.0895249,37.5358544
287,127.0912537,37.5344655
288,127.0793197,37.5639785
289,127.0766017,37.5639619
290,127.0849795,37.562744
291,127.0825314,37.5705844
292,127.0944148,37.5567765
293,127.068216,37.5415058
294,127.065836,37.5421031
295,127.0710946,37.5539543
296,127.0790704,37.5545183
297,127.0826259,37.5334949
298,127.0810881,37.5334673
299,127.0833043,37.5322845
300,127.0792471,37.5315993
301,127.0731713,37.5301758
302,127.0672061,37.5347188
303,127.0634597,37.539425
304,127.0653338,37.5378626
305,127.0876988,37.539174
306,127.0877022,37.5418941
307,127.0957381,37.5515509
308,127.0922623,37.5408403
309,127.101369,37.5508901
310,127.0854605,37.5304018
311,127.0714383,37.5406442
312,127.0761323,37.5592497
313,127.07968,37.5617534
314,127.0847983,37.5614047
315,127.0809992,37.5575318
316,127.0870951,37.5593638
317,127.0825049,37.5679526
318,127.0833431,37.5671449
319,127.0888789,37.560763
320,127.0952952,37.5575184
321,127.0687121,37.5461754
322,127.0687241,37.5456096
323,127.0765475,37.5547451
324,127.0768822,37.5536934
325,127.0825007,37.5528765
326,127.084631,37.5531942
327,127.0809445,37.5383271
328,127.080532,37.5382093
329,127.0864732,37.5325458
330,127.0879299,37.5304763
331,127.0757329,37.5361429
332,127.0749115,37.5383794
333,127.0681662,37.5376561
334,127.065381,37.5339655
335,127.0848989,37.5380524
336,127.0857034,37.5385623
337,127.0901503,37.5462871
338,127.096985,37.5507337
339,127.0924027,37.5431421
340,127.0934851,37.5423052
341,127.102022,37.5487057
342,127.0948507,37.5491135
343,127.1010031,37.5517142
344,127.1010031,37.5517142
345,127.1010031,37.5517142
346,127.1010031,37.5517142
347,127.1010031,37.5517142
348,127.1010031,37.5517142
349,127.1010031,37.5517142
350,127.1010031,37.5517142
351,127.1010031,37.5517142
352,127.1010031,37.5517142
353,127.1010031,37.5517142
354,127.1010031,37.5517142
355,127.1010031,37.5517142
356,127.1010031,37.5517142
357,127.1010031,37.5517142
358,127.1010031,37.5517142
359,127.1010031,37.5517142
360,127.1010031,37.5517142
361,127.1010031,37.5517142
362,127.0679552,37.5349258
363,127.0696113,37.5416143
364,127.0704678,37.5443281
365,127.0677125,37.5465198
366,127.0737177,37.5559814
367,127.0791599,37.5645598
368,127.0802882,37.5683475
369,127.0922032,37.556794
370,127.0910342,37.5588907
371,127.086734,37.5414515
372,127.0921901,37.5481379
373,127.0906786,37.5406552
374,127.09476,37.5365046
375,127.09476,37.5365046
